| Test Sırası | Efekt                             | Kullanılacak Asset / Script                 | Notlar                                                        |
| ----------- | --------------------------------- | ------------------------------------------- | ------------------------------------------------------------- |
| 1           | Bounce Effect                     | Mesh + SingleBounce shader + Trigger script | Tek mesh, vertex shader, hızlı test.                          |
| 2           | Rüzgar Efekti (çimen/bitki)       | Çimen mesh + Shader displacement            | Mevcut çimen mesh’lerine rüzgar uygulaması, sahnede gözlemle. |
| 3           | Explosion Effect (shader tabanlı) | Mesh + Explosion shader                     | Dissolve + noise displacement ile görsel patlama.             |
| 4           | Güneş benzeri efekt               | Particle mesh + GPU instancing / shader     | Renk, boyut, merkezden uzaklık hesaplaması.                   |
| 5           | Yağmur/Kar efektleri              | Particle system + fade/biriken script       | Fade eden ve biriken tipleri sahnede dene.                    |
| 6           | Yangın / Ateş efekti              | Particle system + shader                    | Renk, alpha ve animasyon kontrolü ile ateş efekti.            |
| 7           | Explosion Effect (GPU instancing) | Mesh + GPU buffer + instancing shader       | Çok parçacıklı fiziksel patlama, performans testi.            |
| 8           | Ağaç + yaprak GPU sistemi         | Tree mesh + GPU instancing yaprak shader    | Dal pozisyonu, yaprak animasyonu + rüzgar etkileşimi.         |
| 9           | Saç benzeri efekt                 | İnce mesh/line + GPU shader                 | Rüzgar ve fiziksel etkileşim, GPU ile optimize.               |
